473,10518,3.333333333
281,10908,3.555555556
425,10002,2.666666667
74,10915,3.555555556
134,10892,3.555555556
673,10817,3.333333333
464,10543,2.444444444
207,10871,2.666666667
23,10025,3.777777778
180,10593,2.444444444
8,10628,3.333333333
297,11103,3.777777778
829,11008,3.777777778
496,10834,3.111111111
326,10472,2.888888889
73,10316,2.888888889
822,10357,3.333333333
90,11071,3.555555556
279,10730,3.333333333
778,10436,4
800,11122,3.555555556
559,10833,3.333333333
464,10328,3.555555556
604,10657,4
592,10340,3.111111111
500,10671,2.888888889
293,10222,3.555555556
524,10343,3.111111111
497,11091,2.888888889
551,10441,3.333333333
500,10054,3.555555556
620,10217,3.111111111
271,11125,4
223,11067,3.777777778
318,10521,3.111111111
411,10877,3.333333333
794,10143,3.111111111
829,10240,2.444444444
284,10447,3.333333333
129,10298,3.111111111
231,10166,2.888888889
818,10969,3.777777778
676,11074,3.555555556
52,10011,2.888888889
767,10854,3.777777778
174,10774,3.111111111
587,10756,3.777777778
233,10173,3.111111111
726,10970,3.777777778
748,10093,3.555555556
582,10497,3.777777778
663,10299,3.333333333
478,10991,3.333333333
575,10336,4.222222222
818,10426,3.333333333
312,11085,3.333333333
790,10995,3.555555556
154,10541,2.888888889
328,10194,3.555555556
556,10090,3.555555556
250,10718,3.333333333
377,10606,2.888888889
738,10969,3.555555556
376,11112,3.777777778
42,10812,3.333333333
594,10250,2.444444444
109,11109,3.111111111
132,10344,3.555555556
93,10913,4.222222222
289,10283,3.333333333
629,10954,3.555555556
183,10017,3.555555556
502,10073,3.777777778
350,10154,2.444444444
273,11063,3.111111111
838,10327,2.666666667
657,10301,3.111111111
836,10268,3.111111111
494,10321,3.111111111
627,10102,3.333333333
92,10563,3.111111111
786,10168,2.888888889
64,10829,3.777777778
411,10391,4
540,11131,3.555555556
198,10145,2.888888889
393,10618,3.333333333
699,11050,4
596,10864,3.333333333
556,10207,3.777777778
662,10657,3.555555556
154,10014,2.888888889
353,10581,3.333333333
759,11044,3.111111111
169,10992,3.555555556
623,10559,3.555555556
251,10063,4
631,10589,3.111111111
123,10970,3.333333333
